chr	start	end	len
chr11	6598220	6598268	49
chr11	31802743	31802829	87
chr11	65855088	65855186	99
chrX	37839369	37839438	70
chrX	74079855	74079908	54
chrX	153725842	153725906	65
chr15	79004297	79004468	172
chr15	82372300	82372389	90
chr15	101708801	101708875	75
chr16	24721992	24722084	93
chr2	25231566	25231667	102
chr2	75661818	75661855	38
chr2	121337773	121337821	49
chr9	27328707	27328777	71
chr9	110171068	110171132	65
chr9	114597664	114597794	131
chr9	121784883	121785051	169
chr9	124353430	124353467	38
chr3	126597505	126597547	43
chr3	129280366	129280422	57
chr6	117907209	117907476	268
chr6	130052896	130052964	69
chr1	36428247	36428299	53
chr1	52464589	52464784	196
chr1	182887532	182887586	55
chr4	109710859	109710924	66
chr4	137521493	137521575	83
chr7	44104500	44104621	122
chr7	79459638	79459688	51
chr7	141655248	141655308	61
chr7	141841401	141841509	109
chr12	55410283	55410331	49
chr12	56591167	56591224	58
chr5	72203564	72203625	62
chr5	136988472	136988544	73
chr13	94448516	94448591	76
chr8	23087105	23087184	80
chr17	32929073	32929137	65
chr17	35011899	35011965	67
chr17	35844571	35844678	108
chr17	35844571	35844747	177
chr17	35844571	35844906	336
chr17	35844571	35844771	201
chr19	3575559	3575640	82
chr19	5667112	5667148	37
chr19	10863150	10863222	73
chr19	55090921	55091135	215
chr14	20721660	20721721	62
chr14	54962962	54963020	59
chr14	75036212	75036254	43
chr14	103685819	103685862	44
chr12	89348450	89348567	118
chr15	44522729	44523028	300
chr7	19698339	19698403	65
chr7	43952852	43952895	44
chr7	80743715	80743792	78
chr7	130519295	130519355	61
chr7	130536912	130536982	71
chr7	141804415	141804609	195
chr14	24138154	24138236	83
chr19	4430575	4432054	1480
chr19	17585008	17586009	1002
chr19	44132945	44132999	55
chr19	57702177	57702344	168
chr1	20356706	20356793	88
chr1	39368256	39368299	44
chr1	160997741	160997822	82
chr1	182887532	182887671	140
chr6	47574225	47576562	2338
chr6	97156777	97156843	67
chr18	80137452	80137483	32
chr16	15700738	15700928	191
chr16	15700738	15700936	199
chr9	124353430	124353466	37
chr5	73555464	73555579	116
chr5	140689911	140689955	45
chr3	69027899	69027991	93
chr3	69027899	69027954	56
chr3	101576807	101576918	112
chr11	57189838	57189969	132
chr11	69651724	69651779	56
chr11	69651724	69651769	46
chr11	99022766	99022839	74
chr4	137521493	137521578	86
chr4	145128178	145128244	67
chr10	7807383	7807456	74
chr10	42318502	42318591	90
chr13	49432466	49432545	80
chr2	3497944	3498021	78
chr2	11755568	11755640	73
chr2	121337774	121337821	48
chr2	154857534	154857775	242
chr17	8388917	8388987	71
chr17	78842230	78842272	43
chr17	78972339	78972402	64
chr17	47650024	47650091	68
chr7	19698324	19698403	80
chr7	19698340	19698403	64
chr7	19698338	19698403	66
chr6	43523828	43523883	56
chr9	121766583	121766696	114
chr18	32412476	32412586	111
chr1	185297374	185297472	99
chr15	74544346	74544407	62
chr15	74955336	74955933	598
chr3	88058088	88058129	42
chr12	56734164	56738469	4306
chr2	130359905	130359955	51
chr2	135741888	135754193	12306
chr2	32947730	32947790	61
chr2	121337771	121337821	51
chrX	103609158	103609303	146
chr14	103571716	103571817	102
chr3	101594136	101594202	67
chr16	21976173	21976232	60
chr18	31962607	31962665	59
chr7	44468160	44468282	123
chr7	100498273	100498335	63
chr7	144452408	144452547	140
chr12	31282760	31282821	62
chr8	94488652	94488704	53
chr4	40164778	40164861	84
