chr	start	end	type	strand	gene_id	gene_name	subtype	exon_start	exon_end	len
chr11	6403365	6403515	intergenic	.	.	.	intergenic	6403365	6403515	151
chr11	65855031	65855186	intergenic	.	.	.	intergenic	65855031	65855186	156
chr11	65855039	65855186	intergenic	.	.	.	intergenic	65855039	65855186	148
chr11	65855032	65855186	intergenic	-	.	.	intergenic	65855032	65855186	155
chr11	65855080	65855186	intergenic	.	.	.	intergenic	65855080	65855186	107
chr11	70435573	70435725	intergenic	.	.	.	intergenic	70435573	70435725	153
chr7	19698345	19698403	intergenic	.	.	.	intergenic	19698345	19698403	59
chr12	54233753	54240435	intergenic	.	.	.	intergenic	54233753	54240435	6683
chr12	111448640	111449177	intergenic	.	.	.	intergenic	111448640	111449177	538
chr19	48645848	48645910	intergenic	.	.	.	intergenic	48645848	48645910	63
chr15	82043408	82043896	intergenic	.	.	.	intergenic	82043408	82043896	489
chr1	93330468	93330754	intergenic	.	.	.	intergenic	93330468	93330754	287
chr4	137521493	137521575	intergenic	.	.	.	intergenic	137521493	137521575	83
chrX	23364498	23364955	intergenic	.	.	.	intergenic	23364498	23364955	458
chrX	49033476	49040515	intergenic	.	.	.	intergenic	49033476	49040515	7040
chrX	71556009	71556711	intergenic	.	.	.	intergenic	71556009	71556711	703
chrX	74019044	74019899	intergenic	.	.	.	intergenic	74019044	74019899	856
chrX	74232085	74233148	intergenic	.	.	.	intergenic	74232085	74233148	1064
chrX	74255877	74256297	intergenic	.	.	.	intergenic	74255877	74256297	421
chrX	74255877	74256136	intergenic	.	.	.	intergenic	74255877	74256136	260
chrX	74271025	74271555	intergenic	.	.	.	intergenic	74271025	74271555	531
chrX	74741280	74741326	intergenic	.	.	.	intergenic	74741280	74741326	47
chrX	101412006	101412137	intergenic	.	.	.	intergenic	101412006	101412137	132
chrX	101640323	101640785	intergenic	.	.	.	intergenic	101640323	101640785	463
chrX	103609218	103609303	intergenic	.	.	.	intergenic	103609218	103609303	86
chrX	111399638	111400207	intergenic	.	.	.	intergenic	111399638	111400207	570
chrX	138966477	138966813	intergenic	.	.	.	intergenic	138966477	138966813	337
chr8	64691348	64692642	intergenic	.	.	.	intergenic	64691348	64692642	1295
chr8	70377257	70377671	intergenic	.	.	.	intergenic	70377257	70377671	415
chr8	72434171	72434789	intergenic	.	.	.	intergenic	72434171	72434789	619
chr8	79665144	79665627	intergenic	.	.	.	intergenic	79665144	79665627	484
chr8	79665144	79665839	intergenic	.	.	.	intergenic	79665144	79665839	696
chr8	79665144	79665559	intergenic	.	.	.	intergenic	79665144	79665559	416
chr8	79665144	79665813	intergenic	.	.	.	intergenic	79665144	79665813	670
chr8	79665144	79665425	intergenic	.	.	.	intergenic	79665144	79665425	282
chr8	79665144	79665704	intergenic	.	.	.	intergenic	79665144	79665704	561
chr8	79665144	79665750	intergenic	.	.	.	intergenic	79665144	79665750	607
chr8	80663517	80663551	intergenic	.	.	.	intergenic	80663517	80663551	35
chr8	80775782	80776160	intergenic	.	.	.	intergenic	80775782	80776160	379
chr8	84536459	84537114	intergenic	.	.	.	intergenic	84536459	84537114	656
chr8	105338537	105338853	intergenic	.	.	.	intergenic	105338537	105338853	317
chr8	105346726	105347652	intergenic	-	.	.	intergenic	105346726	105347652	927
chr8	105676179	105677119	intergenic	.	.	.	intergenic	105676179	105677119	941
chr8	109624487	109625077	intergenic	.	.	.	intergenic	109624487	109625077	591
chr8	117734707	117736405	intergenic	.	.	.	intergenic	117734707	117736405	1699
chr8	124529057	124529708	intergenic	.	.	.	intergenic	124529057	124529708	652
chr6	3288701	3289003	intergenic	+	.	.	intergenic	3288701	3289003	303
chr6	30643629	30644569	intergenic	.	.	.	intergenic	30643629	30644569	941
chr6	35234817	35235146	intergenic	.	.	.	intergenic	35234817	35235146	330
chr6	38180545	38181313	intergenic	.	.	.	intergenic	38180545	38181313	769
chr6	71920753	71922569	intergenic	.	.	.	intergenic	71920753	71922569	1817
chr6	71926812	71927245	intergenic	.	.	.	intergenic	71926812	71927245	434
chr6	73121443	73121779	intergenic	.	.	.	intergenic	73121443	73121779	337
chr6	88844752	88845065	intergenic	.	.	.	intergenic	88844752	88845065	314
chr6	107530244	107530872	intergenic	.	.	.	intergenic	107530244	107530872	629
chr6	145808563	145808915	intergenic	.	.	.	intergenic	145808563	145808915	353
chr6	147535792	147536506	intergenic	.	.	.	intergenic	147535792	147536506	715
chr7	4061619	4063068	intergenic	.	.	.	intergenic	4061619	4063068	1450
chr7	6415245	6415924	intergenic	.	.	.	intergenic	6415245	6415924	680
chr7	7246408	7247131	intergenic	.	.	.	intergenic	7246408	7247131	724
chr7	15951323	15952065	intergenic	.	.	.	intergenic	15951323	15952065	743
chr7	16201409	16201929	intergenic	.	.	.	intergenic	16201409	16201929	521
chr7	19698335	19698403	intergenic	.	.	.	intergenic	19698335	19698403	69
chr7	23355278	23357155	intergenic	.	.	.	intergenic	23355278	23357155	1878
chr7	28094200	28094572	intergenic	.	.	.	intergenic	28094200	28094572	373
chr7	28142785	28143386	intergenic	.	.	.	intergenic	28142785	28143386	602
chr7	33650292	33653203	intergenic	.	.	.	intergenic	33650292	33653203	2912
chr7	43950737	43951213	intergenic	.	.	.	intergenic	43950737	43951213	477
chr7	44393568	44394063	intergenic	.	.	.	intergenic	44393568	44394063	496
chr7	45722655	45722721	intergenic	+	.	.	intergenic	45722655	45722721	67
chr7	55926527	55927023	intergenic	.	.	.	intergenic	55926527	55927023	497
chr7	67267489	67268066	intergenic	.	.	.	intergenic	67267489	67268066	578
chr7	70386549	70386828	intergenic	+	.	.	intergenic	70386549	70386828	280
chr7	73440538	73441585	intergenic	.	.	.	intergenic	73440538	73441585	1048
chr7	78593897	78594398	intergenic	.	.	.	intergenic	78593897	78594398	502
chr7	78711333	78712218	intergenic	.	.	.	intergenic	78711333	78712218	886
chr7	78711756	78712218	intergenic	.	.	.	intergenic	78711756	78712218	463
chr7	79459638	79459688	intergenic	.	.	.	intergenic	79459638	79459688	51
chr7	80743309	80743792	intergenic	.	.	.	intergenic	80743309	80743792	484
chr7	82273995	82274453	intergenic	.	.	.	intergenic	82273995	82274453	459
chr7	92567742	92568364	intergenic	.	.	.	intergenic	92567742	92568364	623
chr7	98265834	98266136	intergenic	.	.	.	intergenic	98265834	98266136	303
chr7	100430827	100431055	intergenic	.	.	.	intergenic	100430827	100431055	229
chr7	102223491	102224541	intergenic	.	.	.	intergenic	102223491	102224541	1051
chr7	102465814	102466267	intergenic	.	.	.	intergenic	102465814	102466267	454
chr7	112023747	112024293	intergenic	.	.	.	intergenic	112023747	112024293	547
chr7	112856065	112856591	intergenic	.	.	.	intergenic	112856065	112856591	527
chr7	120283242	120283666	intergenic	.	.	.	intergenic	120283242	120283666	425
chr7	120375157	120375869	intergenic	.	.	.	intergenic	120375157	120375869	713
chr7	120465803	120466225	intergenic	.	.	.	intergenic	120465803	120466225	423
chr7	120503508	120504330	intergenic	.	.	.	intergenic	120503508	120504330	823
chr7	130515797	130516104	intergenic	.	.	.	intergenic	130515797	130516104	308
chr7	130542325	130542679	intergenic	.	.	.	intergenic	130542325	130542679	355
chr7	133678435	133678545	intergenic	.	.	.	intergenic	133678435	133678545	111
chr7	135674383	135675254	intergenic	.	.	.	intergenic	135674383	135675254	872
chr7	137234903	137235857	intergenic	.	.	.	intergenic	137234903	137235857	955
chr7	139677994	139678489	intergenic	.	.	.	intergenic	139677994	139678489	496
chr7	141266056	141266389	intergenic	.	.	.	intergenic	141266056	141266389	334
chr3	27468197	27468865	intergenic	.	.	.	intergenic	27468197	27468865	669
chr3	28625223	28625381	intergenic	.	.	.	intergenic	28625223	28625381	159
chr3	28650198	28650740	intergenic	.	.	.	intergenic	28650198	28650740	543
chr3	28708678	28710992	intergenic	.	.	.	intergenic	28708678	28710992	2315
chr3	37011005	37011111	intergenic	.	.	.	intergenic	37011005	37011111	107
chr3	51395300	51396426	intergenic	.	.	.	intergenic	51395300	51396426	1127
chr3	79085321	79085744	intergenic	.	.	.	intergenic	79085321	79085744	424
chr3	79668729	79670846	intergenic	.	.	.	intergenic	79668729	79670846	2118
chr3	84976385	84977077	intergenic	.	.	.	intergenic	84976385	84977077	693
chr3	88058087	88058129	intergenic	.	.	.	intergenic	88058087	88058129	43
chr3	89232116	89232504	intergenic	.	.	.	intergenic	89232116	89232504	389
chr3	89244111	89244149	intergenic	.	.	.	intergenic	89244111	89244149	39
chr3	89358215	89358561	intergenic	.	.	.	intergenic	89358215	89358561	347
chr3	116010697	116011405	intergenic	.	.	.	intergenic	116010697	116011405	709
chr3	116593825	116594638	intergenic	.	.	.	intergenic	116593825	116594638	814
