chr	start	end	cjc_1	cjc_2	ljc_1	ljc_2	adj_cjc_len	adj_ljc_len	pbsi1	pbsi2	delta_pbsi	P	FDR
chr11	6403365	6403515	2,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0	0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,2,0,0,0,0,0	291,182,106,95,264,104,100,45,291,722,238,231,68,123,583,114,69,220,86,134,731,599,283,592,650,594,162,682,413,207,122,165,372,56,104,518	132,71,189,666,678,602,156,303,112,1274,215,120,64,719,88,761,462,561,237,54,447,82,409,95,241,56,731,121,471,545,296,69,61,430,142,423,699	151	439	0.019589906066623475,0.0,0.0,0.0,0.010892489392849258,0.0,0.0,0.0,0.019589906066623475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004870580142678049,0.0,0.0,0.0,0.0,0.0,0.03404024347691237,0.0,0.0,0.0,0.0	0.0,0.03933691756272406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05108809496101474,0.0,0.0,0.0,0.02969426406926412,0.0,0.0,0.0,0.0,0.012194613814080824,0.0,0.0,0.07771974860582465,0.0,0.0,0.0,0.0,0.0	-0.00320483136191764	1.0	1.0
chr11	65855031	65855186	1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	1009,3168,1625,1200,1027,3338,3480,2402,1098,1631,3110,2159,2420,1216,2106,1566,3464,3309,3886,2058,1591,1781,1140,2245,2329,2161,3151,2796,2031,3163,2053,2980,7088,2416,4067,2149	333,3943,3042,2815,2729,1638,345,1066,1610,3262,2262,2069,2434,2790,4067,2745,1424,2135,3152,2460,2089,3985,2092,3271,2262,2378,1719,326,1404,1684,1004,4093,3485,1360,1221,4678,15153	156	444	0.002812832598449111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	7.813423884580863e-05	1.0	1.0
chr11	65855039	65855186	1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	1200,3292,1703,1265,1215,3687,3809,2607,1186,1824,3276,2242,2633,1278,2320,1639,3783,3446,4275,2150,1777,1942,1233,2365,2424,2368,3305,2961,2247,3333,2155,3140,7412,2628,4459,2375	357,4326,3196,2959,2862,1780,374,1154,1696,3442,2372,2175,2653,2908,4489,2888,1490,2237,3302,2699,2286,4385,2288,3616,2362,2581,1905,354,1488,1824,1170,4510,3822,1462,1302,4881,15847	148	436	0.0024489429104225247,0.0,0.0,0.0023234002643133245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	0.0,0.0,0.0,0.0,0.001028272784732498,0.0,0.0,0.0,0.0,0.0,0.0,0.0013526258314305872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001287031679871542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	3.34318369429278e-05	1.0	1.0
chr11	65855032	65855186	1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0	1009,3166,1622,1196,1027,3326,3473,2395,1099,1632,3111,2154,2421,1211,2105,1564,3469,3304,3882,2058,1591,1777,1140,2249,2329,2162,3140,2792,2030,3163,2053,2975,7082,2417,4071,2151	333,3946,3038,2812,2726,1639,344,1068,1610,3262,2260,2071,2434,2786,4070,2738,1421,2138,3140,2461,2088,3982,2092,3270,2256,2376,1721,326,1403,1687,1004,4094,3485,1361,1218,4675,15142	155	443	0.0028245705760083784,0.0009019225405305642,0.0,0.0023839890648628126,0.0,0.0008585720570650768,0.0,0.0,0.0,0.0,0.0,0.0013251055148918445,0.0,0.0,0.0,0.0,0.0,0.0,0.0007356934201108167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018171153396528972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014021405590521896,0.0	0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013669337793097425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002032968041558836,0.0,0.0,0.0006976235132193365,0.0008194325753120291,0.0,0.0,0.0,0.0	0.0002073622754745206	1.0	1.0
chr11	65855080	65855186	1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0	0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0	1227,3092,1633,1184,1257,3661,3776,2599,1133,1846,3058,2130,2617,1182,2294,1519,3786,3242,4259,2035,1781,1938,1178,2196,2255,2337,3119,2787,2241,3161,2010,2905,7044,2647,4411,2370	346,4265,2979,2837,2734,1797,348,1094,1601,3244,2252,2009,2663,2725,4449,2751,1356,2071,3117,2667,2263,4298,2297,3581,2260,2556,1902,343,1372,1808,1223,4431,3787,1375,1210,4556,14869	107	395	0.0029996051152759717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009741132486800197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005238011253104746,0.0,0.0,0.0	0.0,0.0,0.0,0.0,0.0,0.0020500949790838163,0.0,0.0,0.0,0.0,0.0,0.001834155220609368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001029820472309484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	-7.881623940868482e-06	1.0	1.0
chr11	70435573	70435725	1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	85,164,119,112,92,297,291,190,75,146,170,164,294,101,170,120,235,174,263,128,147,186,78,145,160,151,149,145,130,176,139,215,494,314,260,166	38,256,226,185,183,160,42,98,132,317,183,122,295,208,285,190,105,160,177,230,104,242,106,272,169,209,152,35,112,173,84,213,228,110,95,376,816	153	441	0.03279785809906299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022022471910112307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021691013722886177,0.0	0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	0.0021253151036683742	1.0	1.0
chr7	19698345	19698403	2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0	23,39,24,20,26,106,108,42,6,35,39,45,76,17,19,28,96,45,64,45,32,27,3,14,20,20,35,26,40,55,37,28,104,93,74,15	5,75,30,16,19,30,4,1,21,38,43,34,93,25,100,15,11,14,33,46,31,114,36,106,45,43,34,10,10,33,11,65,93,19,31,100,159	59	347	0.33837152608483667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2161096117915715,0.0,0.2687838884585593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09353099730458225,0.0,0.0,0.0,0.0,0.0,0.0,0.3703308431163288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	0.010331666455886634	1.0	1.0
chr12	54233753	54240435	1,0,0,1,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0	87,191,187,108,75,240,221,204,89,133,170,128,163,120,148,170,107,180,137,257,107,157,92,151,168,117,201,191,99,194,239,247,898,178,135,117	28,130,216,187,175,150,33,99,180,464,129,223,176,160,106,174,179,155,172,198,85,123,91,195,142,179,121,19,190,178,100,122,65,204,135,482,877	288	576	0.022471910112359494,0.0,0.0,0.018181818181818077,0.0,0.0,0.0,0.019230769230769162,0.0219780219780219,0.014814814814814725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012345679012345623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016260162601625994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	0.00191235065439565	1.0	1.0
chr12	111448640	111449177	1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	14,29,30,18,18,96,104,40,9,40,35,17,85,13,29,26,106,33,43,21,27,19,24,27,22,17,18,26,31,27,20,34,102,73,75,25	7,36,26,27,32,25,6,13,29,61,11,22,84,16,70,28,15,19,17,41,19,96,28,119,19,54,34,3,19,27,10,41,91,24,18,46,149	288	576	0.12499999999999989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	0.003472222222222219	1.0	1.0
chr19	48645848	48645910	1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	20,22,7,24,22,191,175,41,23,40,23,26,129,23,31,13,182,22,91,12,24,17,17,39,39,35,25,67,46,22,16,20,41,130,198,30	1,80,10,44,41,17,3,14,7,56,34,11,131,30,188,26,24,34,32,45,41,203,38,179,22,47,30,0,24,17,25,98,209,20,17,48,87	63	351	0.21787709497206698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	0.00605214152700186	1.0	1.0
