chr	start	end
chr7	3338445	3339026
chr7	4101898	4102056
chr7	12489570	12490044
chr7	12770804	12775658
chr7	14582992	14598451
chr7	15920577	15922251
chr7	15920588	15922251
chr7	16152819	16157425
chr7	16212809	16218950
chr7	16883127	16883510
chr7	18942216	18950619
chr7	27310181	27310787
chr7	27371874	27372375
chr7	27608623	27618319
chr7	28322003	28323982
chr7	28776858	28778990
chr7	29338956	29388151
chr7	29377496	29388151
chr7	29383196	29388151
chr7	34248107	34254084
chr7	34351286	34375392
chr7	34353390	34365737
chr7	34353390	34371184
chr7	34934682	34971703
chr7	35293655	35297688
chr7	35299221	35305988
chr7	35305930	35310574
chr7	35619315	35620662
chr7	37567814	37569991
chr7	42488470	42490276
chr7	44316033	44316495
chr7	44354645	44356117
chr7	44915841	44916470
chr7	44953747	44954487
chr7	45326563	45327895
chr7	46515668	46635556
chr7	46590607	46635556
chr7	46614618	46635556
chr7	46621561	46635556
chr7	46775765	46777034
chr7	46808537	46808879
chr7	46850178	46851058
chr7	46890922	46907177
chr7	48799829	48805694
chr7	49564071	49575820
chr7	49791973	49848824
chr7	49791973	49818110
chr7	49791973	49829030
chr7	50228792	50258265
chr7	51887912	51926544
chr7	51887912	51953301
chr7	55075026	55075088
chr7	55167200	55211886
chr7	55823520	55826321
chr7	55896668	55898391
chr7	56097377	56098486
chr7	56100079	56106532
chr7	56982625	56985163
chr7	57452945	57490861
chr7	57488802	57508138
chr7	57765424	57792629
chr7	57788866	57792629
chr7	57788866	57816519
chr7	57812054	57816519
chr7	59240967	59247217
chr7	61911363	61925420
chr7	63615289	63650965
chr7	63649609	63650965
chr7	64695024	64696017
chr7	66125242	66125737
chr7	66908593	66915894
chr7	67027807	67029720
chr7	67070589	67078377
chr7	67264865	67268400
chr7	67529586	67559969
chr7	67698224	67711503
chr7	68003810	68004355
chr7	68164993	68173375
chr7	73514090	73515812
chr7	73514090	73519708
chr7	75136298	75149088
chr7	75156607	75206922
chr7	75586157	75586340
chr7	78247155	78260414
chr7	78356027	78462942
chr7	78450887	78462942
chr7	79294508	79297207
chr7	80368506	80368650
chr7	80396929	80398928
chr7	81349792	81436377
chr7	81355875	81436377
chr7	81372012	81436377
chr7	81484426	81485109
chr7	81893799	81905636
chr7	82273861	82285130
chr7	82681352	82686764
chr7	83636869	83637603
chr7	84262393	84275486
chr7	84343742	84354567
chr7	86756938	86763042
chr7	87596116	87603201
chr7	87803815	87804064
chr7	87803815	87975370
chr7	88026424	88040109
